Catentry ID,Reco1,Reco2,Reco3,Reco4,Reco5,Reco6,Reco7,Reco8
1000385,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1000387,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1002609,3013530,50116687,,,,,,
1004671,1004679,1004693,1004697,999931846,1004699,4740814,4755186,4014779
1004679,1004671,1004693,1004697,999931846,1004699,4740814,4755186,4014779
1004693,1004671,1004697,999931846,1004699,4740814,4755186,4014779,
1004697,1004671,1004693,999931846,1004699,4740814,4755186,4014779,
1004699,999931846,1004671,1004693,1004697,3228448,3227634,3227548,3227636
1005493,3010233,3123989,3014397,,,,,
1005509,3380734,,,,,,,
1013857,1264855,1265169,3143577,4285485,1239027,3518038,999946334,4717261
1014793,3125823,4745705,4717261,4717257,999956506,3675942,4542178,1238855
1016423,50117203,,,,,,,
1017025,3118673,50116853,50116717,,,,,
1041679,1041777,4740770,3082445,3672708,3672704,3271145,3438086,3267599
1041777,1041679,4740770,3082445,3672708,3672704,3271145,3438086,3267599
1042095,3878486,1072271,1223721,1223727,1223733,1223743,1067183,3399204
1051553,3010233,3123989,3014397,,,,,
1053215,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1053313,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1056853,3418852,999942474,50276735,,,,,
1057025,4740822,4736841,3438086,999899751,3143577,50090384,,
1057087,3172579,3186661,3276779,,,,,
1057201,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1057219,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1057225,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1057227,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1058335,3177027,1237851,1265937,1265969,3672708,3672704,3271145,3267589
1058417,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1059543,3148457,3148485,1072027,3148477,3274101,1264933,1265187,3137183
1059615,3123769,1059617,1238857,1265127,1265147,1265185,1265165,3138345
1059617,3123769,1238857,1072007,1265127,1265147,1265185,1265165,3138345
1060671,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1060715,1060725,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1060725,1060671,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1061451,4740770,3082445,3672708,3271145,3267589,3267591,3438086,3267599
1062961,3028496,4285485,1239027,999946334,4717261,3147773,1238855,3147779
1065549,4740770,3082445,3672708,3271145,3267589,3267591,3438086,3267599
1066097,1237861,1067199,3176997,1223831,1223843,1223853,1223901,3672708
1066099,1067181,1237863,3176999,1223829,1223841,1268261,1223899,50090322
1066891,1237855,1238061,3148427,50393178,3475567,3598492,3598424,50171179
1067113,1067181,1066099,3176999,1223829,1223841,1268261,1223899,50090322
1067117,1067183,1237859,3569420,1223833,1223845,1223855,1223903,3399204
1067145,1066097,1067199,3176997,1223831,1223843,1223853,1223901,3672708
1067149,1067181,1066099,3176999,1223829,1223841,1268261,1223899,50090322
1067151,1067183,1237859,3569420,1223833,1223845,1223855,1223903,3399204
1067181,1066099,3176999,50090182,1223829,1223841,1268261,1223899,50090322
1067183,1237859,3569420,50090184,1223833,1223845,1223855,1223903,3399204
1067193,1237867,3176969,1223835,1223847,1223857,1223905,1067183,3607124
1067199,1066097,3176997,50090180,1223831,1223843,1223853,1223901,3672708
1068909,3290788,3094395,3285382,,,,,
1071669,1239027,3502132,3124839,1270603,3138355,4285485,3147773,3147779
1071867,1067181,1066099,3176999,1223829,1223841,1268261,,
1071873,3878484,1072269,1223717,1223723,1223729,3516686,1067181,50090322
1071875,3878486,1072271,1223721,1223727,1223733,1223743,1067183,3399204
1072007,3123769,1059617,1238857,1265127,1265147,1265185,1265165,3138345
1072021,3147773,1238855,1072037,3147779,3147777,1264927,3120389,1265151
1072025,3123769,1059617,1238857,1265127,1265147,1265185,1265165,3138345
1072027,3148457,3148485,1072045,3148477,3274101,1264933,1265187,3137183
1072037,3147773,1238855,1072021,3147779,3147777,1264927,3120389,1265151
1072043,3123769,1059617,1238857,1265127,1265147,1265185,1265165,3138345
1072045,3148457,3148485,1072027,3148477,3274101,1264933,1265187,3137183
1072053,3147773,1238855,1072021,3147779,3147777,1264927,3120389,1265151
1072203,3123769,1059617,1238857,1265127,1265147,1265185,1265165,3138345
1072205,3148457,3148485,1072027,3148477,3274101,1264933,1265187,3137183
1072227,3138357,4285485,3518038,4717261,3147773,1238855,3147779,1013857
1072259,3521306,3521298,3521312,3521290,1072271,1237865,3399204,3598432
1072267,3878472,3598468,3569452,1223719,1223725,1223731,1223741,3672708
1072269,3878484,3569428,1223717,1223723,1223729,3516686,1067181,50090322
1072271,3878486,3569426,1223721,1223727,1223733,1223743,1067183,3399204
1072467,1239027,3502132,3124839,1270603,3138355,4285485,3147773,3147779
1075399,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1075403,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1075429,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1076155,1092217,,,,,,,
1081181,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1081183,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1081193,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1081195,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1081197,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1081199,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1081251,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1081255,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1081309,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1081849,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1081851,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1081855,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1081857,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1081867,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1081873,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1081877,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1082007,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1082009,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1082011,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1082013,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1082491,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1083559,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1085869,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1085871,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086159,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086377,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086445,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086453,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086471,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086485,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086487,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086497,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086499,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086507,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086515,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086517,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086523,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086525,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086527,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086537,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086569,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086623,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086625,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086627,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086629,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086653,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086661,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086675,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086677,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086851,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086853,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1086855,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1088863,1091623,1090735,50176721,50171639,1067181,3878496,3176999,50090322
1090735,1091623,1090827,50176721,50171639,1067181,3878496,3176999,50090322
1090827,1091623,1090735,50176721,50171639,1067181,3878496,3176999,50090322
1091409,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1091623,1090735,50288039,50176721,50171639,1067181,3878496,3176999,50090322
1091909,1002609,50116687,,,,,,
1092217,1242285,,,,,,,
1092849,1002609,50116687,,,,,,
1094299,1183007,4756563,4740770,3082445,3271145,3267589,3267591,3438086
1094497,1095387,,,,,,,
1094629,1095387,,,,,,,
1095245,1122019,3309916,,,,,,
1095365,1122019,3309916,,,,,,
1095387,1094497,,,,,,,
1095389,1095387,,,,,,,
1095469,1122019,3309916,,,,,,
1095481,1122019,3309916,,,,,,
1096393,1097383,1100425,3517932,1100799,1100831,3381348,,
1097383,1100425,3517932,1096393,1100799,1100831,50171151,3381348,
1097447,1100831,1100799,1097383,1100425,3517932,1096393,3775459,50210291
1097479,1100831,1100799,1097383,1100425,3517932,1096393,3775459,50210291
1097613,3148517,1097617,3197241,1097619,1097621,3373804,3228408,3228410
1097617,3148517,3197241,1097619,1097621,3274377,3373804,3228408,3228410
1097619,3148517,1097617,3197241,1097621,3373804,3228408,3228410,4745941
1097621,3148517,1097617,3197241,1097619,3373804,3228408,3228410,3228450
1097901,1097935,1097943,1097945,50419750,1256443,1097941,3197241,3228450
1097919,1097935,1097943,1097945,50419750,1256443,1097941,3197241,3228450
1097935,1097943,1097901,1097945,50419750,1256443,1097941,3197241,3228450
1097941,1097935,1097943,1097945,50419750,1256443,,,
1097943,1097935,1097945,50419750,1256443,1097941,3197241,3228450,3227518
1097945,1097935,1097943,50419750,1256443,1097941,3197241,3228450,3227518
1098473,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1100425,1097383,3517932,1096393,1100799,1100831,3381348,,
1100799,50446308,1100831,1100425,3517932,1096393,50396300,3399198,3046810
1100831,1097479,1100799,1097383,1100425,3517932,1096393,3775459,50210291
1100873,1100911,1260583,1260575,3517870,3381348,50170745,,
1100911,1260583,1100873,1260575,3517870,3381348,50170745,,
1100969,1260575,1100911,1260583,1100873,50277195,3775459,50210291,3383748
1102675,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1102857,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1112607,1066097,1067199,3176997,1223831,1223843,1223853,1223901,3672708
1114723,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1115051,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1115475,50121569,50116781,,,,,,
1115577,3344802,3689844,50092038,3032786,3111427,4737836,4682185,4761233
1119255,1212725,3006687,1213005,1213025,,,,
1119257,1212725,3006687,1213005,1213025,,,,
1119259,1212785,,,,,,,
1119261,1212787,,,,,,,
1119263,1267217,1213023,,,,,,
1119265,1212811,3516542,1212975,,,,,
1119267,1212821,1213023,,,,,,
1119269,1212821,1213023,,,,,,
1119271,1212821,1213023,,,,,,
1122019,1095245,3309916,,,,,,
1157445,999932886,999934654,999933812,999934956,999932512,999934748,999952476,999953016
1158703,999941278,999952362,999952414,999942088,999942358,999937458,999938052,999953100
1161125,50200339,3605480,1267009,1203815,50422734,50198097,50208421,
1161253,50200301,3380316,50422742,50226105,,,,
1164665,3123769,1059617,1238857,1265127,1265147,1265185,1265165,3138345
1173315,3123769,1059617,1238857,1265127,1265147,1265185,1265165,3138345
1173925,1183007,4756563,4740770,3082445,3271145,3267589,3267591,3438086
1175875,1175877,,,,,,,
1175877,1175875,,,,,,,
1175879,3139539,3168263,4747059,,,,,
1183007,4756563,4740770,3082445,3271145,3267589,3267591,3438086,3267599
1203815,1267009,50198097,3605480,1267265,50422734,50208421,,
1210237,3227642,3148517,1097617,3197241,1097621,3373804,1256443,3228450
1210371,3027088,3028548,3689844,50092038,3032786,3111427,4737836,4682185
1212189,3822831,4582382,3672704,3672708,3271145,3267589,3267591,3438086
1212715,4740822,3606638,4764602,3606640,4756561,999918752,3077837,1210237
1212725,1212727,3006687,1213005,1213025,,,,
1212727,1212725,3006687,1213005,1213025,,,,
1212729,1212725,3006687,1213005,1213025,,,,
1212731,1212725,3006687,1213005,1213025,,,,
1212733,1213025,1213005,3006687,,,,,
1212785,1119259,,,,,,,
1212787,1119261,,,,,,,
1212811,1212815,3516542,1212975,,,,,
1212813,1212857,1213007,1213003,1212977,,,,
1212815,1212811,3516542,1212975,,,,,
1212817,1119263,1213023,,,,,,
1212819,1212811,3516542,1212975,,,,,
1212821,1119267,1213023,,,,,,
1212823,1119263,1213023,,,,,,
1212825,1119263,1213023,,,,,,
1212827,1212821,1213023,,,,,,
1212829,1119263,1213023,,,,,,
1212831,1212821,1213023,,,,,,
1212833,1119263,1213023,,,,,,
1212835,1119263,1213023,,,,,,
1212837,1119263,1213023,,,,,,
1212839,1212821,1213023,,,,,,
1212841,1119263,1213023,,,,,,
1212843,1212821,1213023,,,,,,
1212845,1119263,1213023,,,,,,
1212847,1212821,1213023,,,,,,
1212849,1119263,1213023,,,,,,
1212851,1212821,1213023,,,,,,
1212853,1212821,1213023,,,,,,
1212855,1212821,1213023,,,,,,
1212857,1212813,1213007,1213003,1212977,,,,
1212859,1119263,1213023,,,,,,
1212861,1212863,1212975,3516542,,,,,
1212863,1212861,1212975,3516542,,,,,
